datapoint,factValue
dp3530760,23447876326.4
dp3530761,23447876326.4
dp3530762,23447876326.4
dp3530763,14591041973.3
dp3530764,14591041973.3
dp3530766,48738623608.58
dp3530767,3190115716.23
dp3530768,3018026273.8399997
dp3530769,44451547457
dp3530773,1084837400.8200002
dp3530774,3615090667.4
dp3530775,14695825911.33
dp3530776,18791864.07
dp3530777,22300878835.38
dp3530778,2284598795.706811
dp3530779,400009005.21000004
dp3530781,6582205035.189671
dp3530782,19731690370.9741
dp3530784,55578452781.5224
dp3530785,3371413713.5241485
dp3530786,25687464498.626564
dp3530787,48614234222.94476
dp3530788,1230588989.184636
dp3530790,6582205035.189671
dp3530791,19731690370.9741
dp3530793,157436454484.73657
dp3530794,149886686604.5102
dp3530797,606184560.02811
dp3530798,672668479.64
dp3530799,776802798.769011
dp3530800,776802798.769011
dp3530801,649804331.58
dp3530802,774897532.8296831
dp3530804,104783938.03
dp3530805,104783938.03
dp3530810,114980644073.21999
dp3530811,606184560.02811
dp3530812,774897532.8296831
dp3530813,104783938.03
dp3530815,14591041973.3
dp3530818,22300878835.38
dp3530819,1953137088.91
dp3530820,324179056.86
dp3530824,69652720221.11125
dp3530825,21693991.7021657
dp3530826,400009005.21000004
dp3530827,2284598795.706811
dp3530828,6769205171.272343
dp3530829,18791864.07
dp3530830,3981617847.8772173
dp3530832,1230588989.184636
dp3530834,62594864983.29164
dp3530835,21693991.7021657
dp3530836,6769205171.272343
dp3530837,44451547457
dp3530838,3763591782.9999995
dp3530839,3190115716.23
dp3530840,48738623608.58
dp3530844,51756649882.42
