datapoint,factValue
dp3530983,"4a, 5b, 7b: Given that the changes in CRR III are implemented as of 31/03/2025, there are no figures available at 31/12/2024 and 31/09/2024"
dp3530984,"EU 21, 21a, 22: Given that the Fundamental Review of the Trading Book (FRTB) has not yet entered into force (expected 01/01/2027), no figures are displayed."
dp3530987,"The Market risk figures in column d en EU d are determined through the Fundamental Review of the Trading Book - Standardised Approach as per Regulation (EU) No 2024/1623."
dp3531039,"Template is not reported as the methodology is not applied by KBC."
