datapoint,factValue
dp134665,64029856467.33834
dp143076,1.575680625356853
dp145637,100836945526.86168
dp146049,72883478602.25499
dp3294197,0.192066
dp3294198,0.1473495673395163
dp3294199,0.167202
dp3294908,125930656892.75589
dp33411,18555827808
dp33413,24186957373
dp3529430,0.14582064354188626
dp3529431,0.145904
dp3529433,0.190167
dp3529438,0.1609744637461813
dp3529439,0.18245932920273747
dp3529440,0.168943
dp3529851,123005280639.06175
dp3529852,124314856915.678
dp38483,125930656892.75589
dp410432,0.15003454701651314
dp410438,0.0175
dp424336,0.009843999999999999
dp424337,0.013124999999999998
dp457447,0.031
dp457448,0.031
dp458571,1.3433209070314087
dp458581,168933878190.57
dp458851,226932410479.29
dp475209,0.09250581733978172
dp475210,0.09026065543083849
dp475211,0.08415932919478734
dp475212,0.07687629890440398
dp475213,0.0873991667229416
dp475214,373137443644.4586
dp475215,380048211007.336
dp475216,370536117155.686
dp475217,360092149383.36316
dp475218,342042523674.0858
dp475219,64135474532.08584
dp475220,63209166869.86084
dp475221,63588392631.583336
dp475222,63164357455.333336
dp475223,18138085285
dp475224,17936709182
dp475225,16621007963
dp475226,16985201494
dp475227,21002085142
dp475228,19800709089
dp475229,18485007870
dp475230,18849201401
dp475231,23640611298
dp475232,22443460994
dp475233,21048372530
dp475234,22123903088
dp475450,124314856915.678
dp475451,123005280639.06175
dp475452,119949945723.41129
dp475453,116822427934.20029
dp475458,0.145904
dp475459,0.14582064354236407
dp475460,0.138566
dp475461,0.145393
dp475462,0.168943
dp475463,0.160974463744931
dp475464,0.154106
dp475465,0.161349
dp475466,0.190167
dp475467,0.18245932919858016
dp475468,0.175476
dp475469,0.189381
dp475470,0.0983
dp475471,0.0983
dp475472,0.0986
dp475473,0.0986
dp475474,0.15053540007738
dp475475,0.15051464745
dp475476,0.15097010635658697
dp475477,0.14860856393627592
dp475478,0.010643750000000007
dp475479,0.010643750000000007
dp475480,0.0104625
dp475481,0.0104625
dp475482,0.013924999999999993
dp475483,0.013924999999999993
dp475484,0.013950000000000004
dp475485,0.013950000000000004
dp475486,0.018299999999999997
dp475487,0.018299999999999997
dp475488,0.01859999999999999
dp475489,0.01859999999999999
dp475490,1.5689447258253948
dp475491,1.5677984063211212
dp475492,1.584174548980526
dp475493,1.5902727020561027
dp475494,8844547858.470833
dp475495,8476594539.045834
dp475496,8286514987.4375
dp475497,8371404395.083333
dp475498,8258885237.75
dp475499,100551298426.94499
dp475500,98994585123.27834
dp475501,100631337660.16667
dp475502,100352522410.83333
dp475503,72621143346.92168
dp475504,71495681857.41
dp475505,71959797026.66667
dp475506,71423242693.08334
dp475547,0.031
dp475548,0.031
dp475549,0.031
dp475550,0.031
dp475551,0.031
dp475552,0.031
dp475553,0.031
dp475554,0.031
dp475564,1.346862
dp475565,1.398221
dp475566,1.3885448302639087
dp475567,1.4104824710614843
dp475569,168465047551.25
dp475570,161958554603.36
dp475571,159835322163
dp475572,157324067057
dp475573,226899245085.407
dp475574,226453909200.83
dp475575,221938510283
dp475576,221902838860
dp475577,0.02500000000009612
dp475578,0.025
dp475579,0.02500000000022537
dp475580,0.025
dp475581,0.025000000000006968
dp475582,0.05253454701671514
dp475583,0.05223540007738002
dp475584,0.052214647452267365
dp475585,0.05237010635658698
dp475586,0.05000856393628987
dp475587,0.011542644418807436
dp475588,0.011240937179777583
dp475589,0.01120707710651604
dp475590,0.011221748415207433
dp475591,0.008622715927480372
dp475592,0.0009919025977539102
dp475593,0.0009944628976024314
dp475594,0.001007570345390735
dp475595,0.0011483579413795486
dp475596,0.0013858480087983482
dp475607,0.01500000000005767
dp475608,0.015
dp475609,0.01500000000013522
dp475610,0.014999999999999998
dp475611,0.015000000000004178
dp475719,0.001
dp475720,0.001
dp475721,0.001
dp475722,0.001
dp475723,0.001
dp475724,0.05642914706411979
dp475725,0.0553
dp475726,0.0534
dp475727,0.05133410406846212
dp475728,0.05510777197856467
dp84817,21055827683
dp85151,0.1473495673395163
dp85152,0.167202
dp85153,0.192066
dp85156,0.0975
