datapoint,factValue
dp3529550,6014287949.7676325
dp3529572,69253744221.11601
dp3529574,1550034685.1188502
dp3529639,29503602523.235756
dp3529719,4143503270
dp3529722,986748596.114534
dp3529723,37431519517.9875
dp3529724,667029090.6282854
dp3529725,3552142253.171559
dp3529726,1541377021.0745647
dp3529727,35881484832.86865
dp3529730,4962565439.506564
dp3529753,939264673.5455211
dp3529756,647558.9481397422
dp3529778,18399102680.12898
dp3529802,1056874450.9172511
dp3529805,90684253.65277755
dp3529820,5053249693.159342
